sp16e1,sp16e2,sp16e3,sp16ef,sp17e1,sp17e2,sp17f,sp21e1,sp21e2,sp21e3,sp21f
75,71.66667,78.33333,79.28571,87,100,97,73.33,100,100,97
75,58.33333,93.33333,86.42857,76,100,50,66.67,80,100,74
61.66667,55,41.66667,56.42857,92,68,93,90,100,100,68
90,65,50,91.42857,88,87,64,100,96.66667,100,77
83.33333,55,36.66667,90,80,71,83,23.33,100,83.33333,94
88.33333,51.66667,43.33333,42.14286,100,72,97,100,100,100,88
51.66667,75,61.66667,90.71429,60,100,36,73.33,100,83.33333,94
60,55,66.66667,74.28571,84,53,87,96.67,73.33333,63.33333,94
78.33333,61.66667,53.33333,64.28571,77,80,72,100,100,100,82
75,100,91.66667,95.71429,94,80,98,53.33,100,60,74
81.66667,58.33333,8.33333,0,90,100,97,73.33,100,73.33333,54
86.66667,63.33333,38.33333,88.57143,78,92,77,56.67,100,100,79
75,33.33333,43.33333,45,83,99,73,30,50,66.66667,71
71.66667,86.66667,85,85.71429,64,78,90,63.33,100,83.33333,62
81.66667,60,68.33333,87.14286,78,60,74,100,100,83.33333,82
80,93.33333,90,86.42857,84,72,86,66.67,100,90,85
41.66667,68.33333,71.66667,71.42857,88,79,72,73.33,100,100,57
56.66667,83.33333,93.33333,90,92,65,96,73.33,100,100,73
61.66667,81.66667,65,50,86,94,64,100,73.33333,86.66667,91
63.33333,75,70,84.28571,80,45,75,66.67,100,100,85
98.33333,93.33333,63.33333,100,66,59,79,100,100,100,78
75,93.33333,91.66667,91.42857,78,68,65,100,88.33333,100,72
86.66667,51.66667,53.33333,70,87,71,84,100,100,100,82
80,66.66667,83.33333,77.85714,63,57,63,100,100,100,85
86.66667,85,75,96.42857,83,43,84,100,73.33333,90,80
91.66667,66.66667,78.33333,94.28571,83,80,75,100,73.33333,100,68
70,33.33333,8.33333,0,94,23,90,100,96.66667,90,42
51.66667,65,81.66667,73.57143,88,96,90,73.33,83.33333,100,65
56.66667,25,33.33333,20.71429,69,100,65,100,83.33333,50,97
85,58.33333,75,84.28571,94,61,89,66.67,100,100,74
83.33333,65,70,92.85714,90,97,79,100,83.33333,100,70
76.66667,61.66667,76.66667,86.42857,80,75,88,100,90,100,88
75,76.66667,8.33333,85,71,64,93,73.33,100,100,88
88.33333,73.33333,91.66667,95.71429,85,80,78,22,100,100,80
43.33333,50,58.33333,87.14286,84,96,60,66.67,100,83.33333,91
25,51.66667,0,0,94,71,97,73.33,100,86.66667,74
26.66667,48.33333,50,37.85714,75,100,90,73.33,96.66667,100,83
70,71.66667,51.66667,85.71429,77,83,77,73.33,93.33333,100,97
63.33333,61.66667,65,76.42857,66,34,59,86.67,73.33333,100,82
58.33333,80,93.33333,78.57143,79,81,71,73.33,83.33333,83.33333,76
70,45,81.66667,51.42857,92,77,96,73.33,70,100,78
38.33333,70,25,63.57143,82,98,65,100,53.33333,73.33333,78
58.33333,58.33333,65,53.57143,80,48,70,73.33,45,100,85
61.66667,70,46.66667,78.57143,86,72,93,40,100,100,88
76.66667,63.33333,58.33333,66.42857,79,69,87,40,100,100,82
78.33333,70,66.66667,90,60,59,86,30,100,100,76
75,51.66667,65,72.85714,84,57,89,100,100,100,91
46.66667,61.66667,66.66667,33.57143,73,72,70,73.33,63.33333,83.33333,82
83.33333,73.33333,41.66667,85,80,74,84,73.33,76.66667,66.66667,
60,71.66667,63.33333,45.71429,80,74,82,73.33,83.33333,,
31.66667,66.66667,53.33333,80,72,80,74,,,,
73.33333,71.66667,46.66667,80,82,71,69,,,,
83.33333,80,100,79.28571,70,71,80,,,,
55,51.66667,86.66667,73.57143,78,61,88,,,,
63.33333,71.66667,53.33333,82.14286,77,78,68,,,,
90,95,58.33333,86.42857,90,48,83,,,,
53.33333,51.66667,80,82.85714,69,90,82,,,,
76.66667,60,70,71.42857,86,71,67,,,,
55,43.33333,8.33333,0,93,70,95.5,,,,
73.33333,60,50,85,82,76,80,,,,
88.33333,76.66667,76.66667,94.28571,81,73,85,,,,
56.66667,86.66667,75,92.85714,77,87,82,,,,
100,78.33333,83.33333,90,84,78,84,,,,
43.33333,48.33333,50,52.85714,95,98,92,,,,
91.66667,90,85,84.28571,76,92,70,,,,
35,43.33333,76.66667,75,70,51,92,,,,
46.66667,41.66667,50,14.28571,79,84,82,,,,
81.66667,68.33333,80,81.42857,81,69,95,,,,
75,76.66667,70,52.85714,73,94,69,,,,
68.33333,68.33333,80,92.14286,83,60,87,,,,
88.33333,51.66667,31.66667,75,87,58,67,,,,
83.33333,50,76.66667,74.28571,92,71,91,,,,
83.33333,63.33333,66.66667,76.42857,74,96,70,,,,
71.66667,68.33333,65,85,86,55,66,,,,
21.66667,88.33333,53.33333,65,89,93,86,,,,
88.33333,71.66667,66.66667,78.57143,88,100,86,,,,
50,53.33333,76.66667,70.71429,87,88,78,,,,
88.33333,93.33333,78.33333,95.71429,79,85,80,,,,
95,56.66667,75,99.28571,79,80,68,,,,
68.33333,93.33333,100,90,71,56,80,,,,
,,,,84,90,64,,,,
,,,,88,71,80,,,,
,,,,88,72,78,,,,
,,,,77,82,88,,,,
,,,,75,76,73,,,,
,,,,68,73,54,,,,
,,,,61,44,43,,,,
,,,,,10,,,,,
